"id","availability","condition","description","image_link","link","title","price","brand"
"ov4xw7z8y","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/extended-family-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/extended-family","extended family | glassybaby","250 USD","glassybaby"
"zh318ukru","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/maid-of-honor-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/maid-of-honor","maid of honor | glassybaby","100 USD","glassybaby"
"go7mqx45m","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/father-of-bride-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/father-of-the-bride","father of the bride | glassybaby","150 USD","glassybaby"
"xf765avhw","in stock","new","each day wakes up slow. birdsong chirps between your dreams, the stars wink out one by one, and then today's eyes open to the rosy bloom of dawn","http://www.glassybaby.com/site/images/product-images/dawn-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/dawn","dawn | glassybaby","50 USD","glassybaby"
"abmewcbdw","in stock","new","as you drive east from the rockies, the jagged mountains fade behind, and the road stretches up ahead to the ever-escaping big sky","http://www.glassybaby.com/site/images/product-images/big-sky-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/big-sky","big sky | glassybaby","50 USD","glassybaby"
"l3tobsjly","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/from-this-day-forward-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/from-this-day-forward","from this day forward | glassybaby","100 USD","glassybaby"
"2hqx6jc33","in stock","new","gray pavement rushes beneath the wings as your flight lands, and your brother picks you up at baggage claim, and you recall how good it feels to come home","http://www.glassybaby.com/site/images/product-images/brother-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/brother","brother | glassybaby","50 USD","glassybaby"
"6onz8c9p3","in stock","new","p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px Helvetica; -webkit-text-stroke: #000000} span.s1 {font-kerning: none} fifty years… sounds like a long time, sure, but those memories are still colorful as the dream you wake up from at noon, because last night you stayed up late discoursing on how humankind is a beautiful expression of infinite love everywhere, like a daisy from a crop-topped lawn because guess what? even fifty years after the “summer of love” somebody still wears tie-dye somewhere and everyone still knows, in the soul of their souls, how the universe itself is a total kaleidoscope, and maybe the whole point of this life is to watch it glow?","http://www.glassybaby.com/site/images/product-images/summer-of-love-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/summer-of-love","summer of love | glassybaby","150 USD","glassybaby"
"kxhllq4qt","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/pride-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/pride","pride | glassybaby","300 USD","glassybaby"
"f61a4v2h2","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/pilgrimage-candle-holder-votive-set_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/pilgrimage","pilgrimage | glassybaby","700 USD","glassybaby"
